func	accruacy level	1.0E-01	1.0E-02	1.0E-03	1.0E-04	1.0E-05
1	peak_ratio	1.000000	1.000000	1.000000	1.000000	1.000000	
2	peak_ratio	1.000000	1.000000	1.000000	1.000000	1.000000	
3	peak_ratio	1.000000	1.000000	1.000000	1.000000	1.000000	
4	peak_ratio	1.000000	1.000000	1.000000	1.000000	1.000000	
5	peak_ratio	1.000000	1.000000	1.000000	1.000000	1.000000	
6	peak_ratio	0.954444	0.954444	0.953333	0.940000	0.918889	
7	peak_ratio	0.553333	0.553333	0.553333	0.553333	0.550000	
8	peak_ratio	0.400741	0.348395	0.309630	0.276049	0.251111	
9	peak_ratio	0.172315	0.172315	0.172315	0.171944	0.170556	
10	peak_ratio	1.000000	1.000000	1.000000	0.998333	0.998333	
11	peak_ratio	0.846667	0.843333	0.843333	0.843333	0.843333	
12	peak_ratio	0.942500	0.942500	0.937500	0.935000	0.932500	
13	peak_ratio	0.700000	0.700000	0.700000	0.700000	0.700000	
14	peak_ratio	0.680000	0.680000	0.676667	0.676667	0.676667	
15	peak_ratio	0.615000	0.605000	0.600000	0.597500	0.597500	
16	peak_ratio	0.616667	0.616667	0.616667	0.616667	0.616667	
17	peak_ratio	0.397500	0.392500	0.390000	0.385000	0.377500	
18	peak_ratio	0.270000	0.270000	0.270000	0.270000	0.266667	
19	peak_ratio	0.205000	0.205000	0.205000	0.205000	0.202500	
20	peak_ratio	0.142500	0.142500	0.142500	0.142500	0.142500	
